,input_energy,sync_time
0,0,17.86666666666663
1,1,17.86666666666663
2,2,17.86666666666663
3,3,17.86666666666663
4,4,15.131722222222248
5,5,15.403888888888899
6,6,15.338888888888905
7,7,16.28772222222224
8,8,17.80655555555557
9,9,22.475833333333334
10,10,22.13411111111109
11,11,8.525388888888868
12,12,8.215544444444463
13,13,8.112655555555571
14,14,5.570211111111111
15,15,7.601655555555573
16,16,7.601655555555573
17,17,12.957470370370356
18,18,12.681873100664738
19,19,12.212644926061593
20,20,12.24264492606159
21,21,11.67830233346901
22,22,10.091131037172683
23,23,9.719834740876387
24,24,9.688668074209723
25,25,8.577419926061577
26,26,7.467476407543062
27,27,12.043587298195616
28,28,11.4123164648623
29,29,8.32218383699635
30,30,4.451794267317396
31,31,6.8284516121330805
32,32,7.70006245869393
33,33,8.165474495730969
34,34,8.839307829064305
35,35,10.817438979857958
36,36,9.19790922927084
37,37,8.468038726625334
38,38,8.585797059958667
39,39,8.616442694879295
40,40,11.880875663453942
41,41,8.95397619312762
42,42,7.947548415349843
43,43,8.282576193127623
44,44,9.744627074961844
45,45,9.788455778665547
46,46,8.202127178577346
47,47,8.303534585984758
48,48,6.587975436954776
49,49,4.867543737327239
50,50,5.25895968703658
51,51,4.148193284920161
52,52,5.408630321957202
53,53,12.829301763756156
54,54,6.708059323936167
55,55,9.774458321084282
56,56,7.944540483700593
57,57,6.901484928145034
58,58,7.02026270592281
59,59,8.888151594811687
60,60,8.901873817033907
61,61,9.05812381703391
62,62,7.36697086837438
63,63,10.22008942296794
64,64,17.91239719989778
65,65,11.270391816682615
66,66,9.743036023710154
67,67,9.101435901610031
68,68,11.689542590626647
69,69,11.44428068586475
70,70,7.913143198277823
71,71,6.976508485133301
72,72,7.5357072505653955
73,73,8.009475824198557
74,74,8.947607537161522
75,75,8.641093648272632
76,76,6.785248527424599
77,77,6.306365188078764
78,78,6.782000373263949
79,79,7.016990651041726
80,80,7.652818428819503
81,81,10.564627926532633
82,82,6.797763516324109
83,83,7.904108580680047
84,84,5.739565295588235
85,85,4.750228066150997
86,86,5.035315040433462
87,87,8.001246226685494
88,88,10.110106215153838
89,89,6.027563111683243
90,90,6.275442474516852
91,91,6.131435067109448
92,92,6.071268400442783
93,93,5.444105746121794
94,94,5.704451579455128
95,95,5.704451579455128
96,96,8.134152362095692
97,97,7.808655206591185
98,98,7.958923725109701
99,99,9.776345351856477
100,100,9.714294095242723
101,101,6.5603900694447415
102,102,6.442481339286009
103,103,6.4200686408733105
104,104,6.924634844577016
105,105,6.997829289021461
106,106,6.997829289021461
107,107,6.997829289021461
108,108,6.071396187777591
109,109,7.854509885060924
110,110,6.837696986327732
111,111,6.837696986327732
112,112,6.034817576945686
113,113,5.627275600458121
114,114,5.6025410325568865
115,115,5.850686040608415
116,116,5.846895496276207
117,117,5.693791034996743
118,118,6.383695533572572
119,119,6.946514305362083
120,120,7.950369114750227
121,121,5.739779465193639
122,122,5.292800624701465
123,123,5.019627911713511
124,124,5.070956317434773
125,125,5.091198077003707
126,126,5.2147119658925964
127,127,5.1421773979913645
128,128,4.704005704956976
129,129,5.002908692902158
130,130,5.01195591512438
131,131,7.537029258592742
132,132,7.615060839789323
133,133,7.258283062011544
134,134,5.496341635096713
135,135,4.669297293551962
136,136,4.072667466142523
137,137,4.316672095772152
138,138,4.574708519826869
139,139,5.503867137850848
140,140,5.6698564051367075
141,141,5.459370605512195
142,142,6.344565748365494
143,143,6.11845129882154
144,144,6.407123342344059
145,145,6.270306278851996
146,146,6.5431436082866945
147,147,6.718368304246802
148,148,6.718368304246802
149,149,9.014711396132387
150,150,5.963775194772008
151,151,5.900699357029504
152,152,5.067148339783549
153,153,4.961888065810947
154,154,5.132317277280483
155,155,4.961783547121753
156,156,5.049680174105881
157,157,5.023524618550326
158,158,5.301745067884412
159,159,5.105232634021978
160,160,5.215814475791633
161,161,6.030583350145912
162,162,6.113374285818427
163,163,5.720882090051233
164,164,5.820555701162342
165,165,7.236394112879314
166,166,6.9472488137340145
167,167,7.191315874400572
168,168,8.010623833404743
169,169,8.010623833404743
170,170,8.010623833404743
171,171,5.880770014356346
172,172,5.896273981275867
173,173,5.896273981275867
174,174,5.925403630947182
175,175,5.9473410207179045
176,176,5.9473410207179045
177,177,5.871874841707214
178,178,5.85626650837388
179,179,5.843377619484991
180,180,5.855266234701192
181,181,5.83823632949837
182,182,6.311290624112312
183,183,6.476290948977776
184,184,6.3056722295708205
185,185,6.2701916740152654
186,186,5.837772613917431
187,187,5.837772613917431
188,188,6.400223536153264
189,189,6.288535045160499
190,190,6.278035045160499
191,191,6.9696560895855715
192,192,6.966359793289276
193,193,6.949804237733719
194,194,6.370697666273216
195,195,6.123795243817503
196,196,6.136506354928614
197,197,5.815242654006888
198,198,5.815242654006888
199,199,5.791541265117999
200,200,5.631396999815402
201,201,5.631396999815402
202,202,5.527774645318045
203,203,5.713379543305358
204,204,5.722324026599839
205,205,6.124017499444179
206,206,6.181954883703437
207,207,6.147568309629363
208,208,6.307223071534126
209,209,6.307223071534126
210,210,6.338432948077334
211,211,6.374946836966223
212,212,6.311514997563797
213,213,6.349897547421345
214,214,6.245017508965286
215,215,6.221832323780101
216,216,6.212434232677504
217,217,6.649077071997466
218,218,5.761961797571498
219,219,5.7952161185591535
220,220,5.757105007448043
221,221,5.760114266707301
222,222,5.806214928082962
223,223,5.84261307623111
224,224,5.834235298453333
225,225,5.784763076231109
226,226,5.677405584648619
227,227,5.677405584648619
228,228,5.677405584648619
229,229,5.695048441791476
230,230,5.768379051813262
231,231,5.974469397064718
232,232,5.974469397064718
233,233,6.372400280955871
234,234,6.441233614289205
235,235,6.474130018810609
236,236,6.53803727236609
237,237,7.084443149060168
238,238,7.4081381560694535
239,239,7.885304539506044
240,240,9.193506562999273
241,241,9.212901434794144
242,242,7.5110729083011405
243,243,6.170405445657415
244,244,6.006308923525527
245,245,6.08364967629128
246,246,5.687270940272253
247,247,5.691604165380481
248,248,5.691604165380481
249,249,5.651816118242433
250,250,5.6999208961805445
251,251,5.87651999831298
252,252,5.957984867294493
253,253,5.957363499773126
254,254,5.926656323847202
255,255,5.913799842365719
256,256,5.910799842365718
257,257,6.001148607797817
258,258,5.7605600597717705
259,259,5.264405971355779
260,260,5.2517022676520755
261,261,5.235521712096519
262,262,5.621082931432741
263,263,5.805814412914219
264,264,5.805814412914219
265,265,5.804300966859468
266,266,5.959614240041776
267,267,6.0341664005356055
268,268,7.175023718389054
269,269,7.388575883357975
270,270,7.190872179654272
271,271,7.400014154962913
272,272,7.099248150928564
273,273,6.073146548416064
274,274,5.958004073401367
275,275,5.374089407044262
276,276,5.256283939131266
277,277,5.2536172724645995
278,278,5.388612268055428
279,279,5.398195601388761
280,280,5.480180169289996
281,281,5.558956095215922
282,282,5.5622338729936995
283,283,5.5796088729937
284,284,5.580497761882588
285,285,5.543570138425799
286,286,5.457380800603128
287,287,5.383269954042282
288,288,5.326370813830643
289,289,5.297866955805951
290,290,5.207557834834328
291,291,5.228432834834328
292,292,5.219442623194116
293,293,5.224998178749671
294,294,5.224998178749671
295,295,5.219275956527451
296,296,5.814057034383969
297,297,5.816964441791376
298,298,5.974047022313285
299,299,5.803709760809355
300,300,5.752672723772317
301,301,5.989010647523283
302,302,5.787707224960182
303,303,5.928614566230024
304,304,5.965887934836728
305,305,6.0801932690648135
306,306,6.133233610386526
307,307,5.7201796617145
308,308,5.824633511499374
309,309,4.731758799638199
310,310,4.646398285898654
311,311,4.483259793835164
312,312,4.483259793835164
313,313,4.478259793835164
314,314,4.478259793835164
315,315,4.478259793835164
316,316,4.532450534575904
317,317,4.6472962317436615
318,318,4.6472962317436615
319,319,4.638138824336254
320,320,4.971596463873552
321,321,4.973777019429107
322,322,4.973777019429107
323,323,4.973777019429107
324,324,4.530276758887179
325,325,4.515554536664956
326,326,4.515554536664956
327,327,4.515554536664956
328,328,4.637939457299875
329,329,4.641606123966541
330,330,5.533168954982994
331,331,5.468474510538549
332,332,4.762525760689421
333,333,4.681269722042077
334,334,4.895034014390856
335,335,5.525514121848811
336,336,5.555013360094149
337,337,5.698680439652018
338,338,5.71806932854091
339,339,5.842896489034735
340,340,6.11786195076697
341,341,6.11786195076697
342,342,6.311803680318535
343,343,6.422403680318535
344,344,6.425237013651868
345,345,6.530102291429643
346,346,5.624522111984578
347,347,5.776503328915793
348,348,5.699753328915795
